,name,company,year,price,kms_driven,fuel_type
268,Mercedes-Benz GLS 350,Mercedes-Benz,6,6800000.0,88000,Diesel
269,MG Hector Sharp,MG,3,1698999.9999999998,7870,Petrol
270,Mahindra XUV500 W10,Mahindra,6,1490000.0,50000,Diesel
271,BMW 3 Series,BMW,9,1710000.0000000002,46000,Diesel
272,Maruti Suzuki Celerio,Maruti,6,490000.00000000006,28726,Petrol
273,Maruti Suzuki Wagon,Maruti,10,313000.0,32907,Petrol
274,Maruti Suzuki Alto,Maruti,5,332000.0,29092,Petrol
275,Hyundai Creta 1.6,Hyundai,8,745000.0,62461,Petrol
276,Skoda Rapid Ambition,Skoda,12,385000.0,60000,Petrol
277,Jaguar XF 3.0,Jaguar,9,2650000.0,62645,Diesel
278,Toyota Innova 2.5,Toyota,9,975000.0,83000,Diesel
279,Hyundai i10 1.1L,Hyundai,9,350000.0,55000,Petrol
280,Toyota Fortuner 2.8,Toyota,5,3500000.0,181213,Diesel
281,Maruti Suzuki Dzire,Maruti,4,690000.0,25000,Petrol
282,Datsun GO T,Datsun,6,235000.0,52000,Petrol
283,Ford EcoSport Titanium,Ford,11,451000.0,38203,Petrol
284,Maruti Suzuki Wagon,Maruti,7,405999.99999999994,64942,ecofriendly_fuel
285,Maruti Suzuki Baleno,Maruti,6,540000.0,47837,Petrol
286,Maruti Suzuki Ertiga,Maruti,11,500000.0,85000,Petrol
287,Mercedes-Benz CLA 200,Mercedes-Benz,9,1648999.9999999998,51500,Diesel
288,Skoda Octavia 1.8,Skoda,6,2100000.0,23160,Petrol
289,Toyota Corolla Altis,Toyota,9,695000.0,75000,Petrol
290,Toyota Corolla Altis,Toyota,10,883000.0,63000,Petrol
291,BMW 3 Series,BMW,11,1550000.0,104264,Diesel
292,Hyundai Elite i20,Hyundai,7,659000.0,15972,Petrol
293,Maruti Suzuki Swift,Maruti,4,674000.0,30956,Petrol
294,Renault Kiger RXT,Renault,2,998000.0,4371,Petrol
295,Hyundai Elite i20,Hyundai,4,1075000.0,63653,Diesel
296,Honda City 1.5,Honda,11,405000.0,55297,Petrol
297,Porsche Cayenne Turbo,Porsche,9,7856999.999999999,12000,Petrol
298,Maruti Suzuki Swift,Maruti,10,417000.0,21391,Petrol
299,Renault Kwid CLIMBER,Renault,3,483000.0,11546,Petrol
300,Hyundai Santro Sportz,Hyundai,4,589000.0,16270,Petrol
301,Nissan Micra XV,Nissan,12,290000.0,73000,Diesel
302,Hyundai Grand i10,Hyundai,6,549000.0,53000,Petrol
303,Mercedes-Benz CLA 200,Mercedes-Benz,8,1925000.0,34000,Petrol
304,Hyundai Venue S,Hyundai,5,1064000.0,16328,Petrol
305,Land Rover Range,Land,3,7700000.0,5600,Petrol
306,Maruti Suzuki S-Cross,Maruti,8,760000.0,73994,Diesel
307,Hyundai Verna SX,Hyundai,5,1059000.0,43920,Petrol
308,Maruti Suzuki Wagon,Maruti,10,317000.0,17715,Petrol
309,Toyota Corolla Altis,Toyota,6,1040000.0,82902,Petrol
310,Maruti Suzuki Wagon,Maruti,6,471000.0,23344,Petrol
311,Hyundai Verna 1.6,Hyundai,5,749000.0,93494,Petrol
312,Honda Jazz V,Honda,6,725000.0,27222,Petrol
313,Hyundai Creta S,Hyundai,3,1600000.0,14468,Diesel
314,Honda Jazz V,Honda,7,747000.0,40000,Diesel
315,Maruti Suzuki Ciaz,Maruti,9,575000.0,65000,Petrol
316,Maruti Suzuki Alto,Maruti,12,190000.0,60028,Petrol
317,Mercedes-Benz CLA 200,Mercedes-Benz,6,2950000.0,37300,Diesel
318,Hyundai Creta 1.6,Hyundai,6,1125000.0,32143,Petrol
319,Hyundai Elite i20,Hyundai,8,645000.0,55669,Petrol
320,Hyundai Grand i10,Hyundai,8,405000.0,72757,Petrol
321,Honda City SV,Honda,7,875000.0,56000,Petrol
322,Maruti Suzuki Swift,Maruti,11,326000.0,70244,Petrol
323,BMW X1 sDrive20d,BMW,6,2145000.0,46595,Diesel
324,Maruti Suzuki XL6,Maruti,4,951000.0,20703,Petrol
325,Tata Harrier XZ,Tata,5,1465000.0,47579,Diesel
326,BMW X1 sDrive20d,BMW,5,2800000.0,31000,Diesel
327,Mercedes-Benz GLE 350,Mercedes-Benz,5,5800000.0,31300,Diesel
328,Ford EcoSport Titanium+,Ford,8,750000.0,52157,Diesel
